timestamp,temperature_C,dewpoint_C,pressure_hPa,wind_speed_kmh,wind_direction_deg,relative_humidity_pct
2021-01-03 14:00:00,15.555634,8.813293,900.2469,6.2384043,54.74579,64.181564
2021-01-03 15:00:00,14.478424,8.462738,900.6744,6.3683825,57.10611,67.17495
2021-01-03 16:00:00,14.284821,8.421326,900.97125,6.4468746,59.425964,67.8304
2021-01-03 17:00:00,13.5312805,8.243378,900.9775,6.497916,60.695007,70.37497
2021-01-03 18:00:00,13.329803,8.216614,900.8544,6.486011,61.034424,71.17504
2021-01-03 19:00:00,13.181915,8.171204,900.57544,6.427219,61.268127,71.643654
2021-01-03 20:00:00,12.472992,7.8988647,900.36206,6.398597,60.642944,73.66912
2021-01-03 21:00:00,12.402161,7.93985,900.10425,6.452421,59.87018,74.21897
2021-01-03 22:00:00,12.014832,7.780884,900.0227,6.033659,62.25107,75.31421
2021-01-03 23:00:00,11.9887085,7.7658386,900.0971,6.4004083,60.753845,75.36663
2021-01-04 00:00:00,12.170258,7.897583,900.42267,6.6297927,60.83603,75.14225
2021-01-04 01:00:00,12.1657715,7.9193115,901.0164,6.8363504,61.972565,75.27558
2021-01-04 02:00:00,12.97345,8.320038,901.7162,7.027973,64.07077,73.36261
2021-01-04 03:00:00,13.352325,8.565704,902.4264,7.033755,67.40857,72.77182
2021-01-04 04:00:00,13.878174,8.830872,902.74475,6.498431,71.174774,71.597275
2021-01-04 05:00:00,15.996002,9.141693,902.57196,5.3544335,70.48529,63.79687
2021-01-04 06:00:00,17.145355,9.272308,901.8972,4.3570557,65.06839,59.82645
2021-01-04 07:00:00,17.425934,9.324188,901.0916,3.762128,57.855164,58.98028
2021-01-04 08:00:00,18.328888,9.462402,900.3514,3.601252,52.113037,56.24283
2021-01-04 09:00:00,18.470306,9.550476,899.9532,3.8820722,48.319458,56.0773
2021-01-04 10:00:00,17.08786,10.041718,899.66626,3.7218404,38.528534,63.225048
2021-01-04 11:00:00,16.979614,10.091339,899.95,4.764704,40.074707,63.87152
2021-01-04 12:00:00,16.810425,10.179779,900.2944,5.3807325,40.589417,64.943016
2021-01-04 13:00:00,16.587158,10.1579895,900.7731,5.817349,42.384247,65.77438
2021-01-04 14:00:00,15.783478,10.158936,901.2301,6.0988083,45.50583,69.236305
2021-01-04 15:00:00,14.80603,9.794434,901.63947,6.140646,48.52597,71.943
2021-01-04 16:00:00,14.602142,9.744324,901.8501,6.0921845,51.36606,72.65067
2021-01-04 17:00:00,13.899109,9.576813,901.78845,6.0553117,53.256775,75.182465
2021-01-04 18:00:00,13.693878,9.4930725,901.5499,6.02369,54.560608,75.76393
2021-01-04 19:00:00,13.540192,9.423889,901.2239,6.00587,55.335724,76.17001
2021-01-04 20:00:00,12.987518,9.178101,900.92206,6.00458,55.78943,77.670204
2021-01-04 21:00:00,12.885803,9.125092,900.6771,6.0930295,55.543365,77.909744
2021-01-04 22:00:00,12.438324,8.918243,900.44086,5.5207844,51.578888,79.11651
2021-01-04 23:00:00,12.385132,8.892273,900.54016,5.9882627,51.431427,79.25423
2021-01-05 00:00:00,12.535706,8.941315,900.8834,6.28624,53.71161,78.735146
2021-01-05 01:00:00,12.554749,8.985291,901.4656,6.5740376,56.47513,78.8705
2021-01-05 02:00:00,13.392334,9.342499,902.1354,6.7835674,59.35724,76.48712
2021-01-05 03:00:00,13.913971,9.5373535,902.67896,6.7453036,62.65616,74.91129
2021-01-05 04:00:00,14.404602,9.693115,902.9127,6.30148,64.719604,73.33122
2021-01-05 05:00:00,16.410461,10.059387,902.6808,5.459922,65.40796,66.080666
2021-01-05 06:00:00,17.261139,10.111786,902.0886,4.5216475,63.81784,62.82941
2021-01-05 07:00:00,17.58319,10.234528,901.2436,3.7656972,58.98645,62.071587
2021-01-05 08:00:00,18.536865,10.449982,900.44135,3.3419747,51.060394,59.307774
2021-01-05 09:00:00,18.647339,10.4262085,899.88104,3.37564,44.991333,58.80589
2021-01-05 10:00:00,17.37561,10.606628,899.5778,2.762714,40.575653,64.470055
2021-01-05 11:00:00,17.24762,10.633362,899.7488,3.8929138,42.256165,65.109406
2021-01-05 12:00:00,17.058075,10.737915,900.0044,4.5698423,44.54596,66.354996
2021-01-05 13:00:00,16.885284,10.770721,900.42194,4.897837,47.787994,67.23197
2021-01-05 14:00:00,16.00772,10.80838,900.8885,5.0708094,50.617645,71.27041
2021-01-05 15:00:00,15.013977,10.4687195,901.2912,5.093356,52.927734,74.258354
2021-01-05 16:00:00,14.786163,10.351379,901.4695,5.018953,54.66504,74.76821
2021-01-05 17:00:00,14.12912,10.169006,901.3391,4.910785,54.662598,77.0662
2021-01-05 18:00:00,13.96405,10.108917,901.0479,4.831234,53.657227,77.58293
2021-01-05 19:00:00,13.824158,10.079834,900.6661,4.777773,51.87979,78.13832
2021-01-05 20:00:00,13.326782,9.84613,900.32587,4.84179,50.333527,79.455345
2021-01-05 21:00:00,13.207642,9.778198,900.05493,4.958336,48.273132,79.71138
2021-01-05 22:00:00,12.659882,9.490662,899.69226,4.2871375,37.52591,81.039
2021-01-05 23:00:00,12.596344,9.414154,899.63135,4.685866,37.496643,80.95988
2021-01-06 00:00:00,12.821381,9.513794,899.87994,4.98609,40.32721,80.31129
2021-01-06 01:00:00,12.813232,9.508545,900.4215,5.2558208,43.63684,80.32579
2021-01-06 02:00:00,13.680603,9.943329,901.1203,5.3722997,47.476685,78.153465
2021-01-06 03:00:00,13.959625,9.933044,901.6607,5.3460455,50.951965,76.69762
2021-01-06 04:00:00,14.388702,10.072693,901.8058,4.7236457,53.73001,75.29636
2021-01-06 05:00:00,16.65924,10.463959,901.5086,3.7643871,51.60544,66.82455
2021-01-06 06:00:00,17.651337,10.421326,900.75214,2.9900486,41.766907,62.58069
2021-01-06 07:00:00,17.857056,10.390533,899.78546,2.6012154,26.930573,61.64837
2021-01-06 08:00:00,18.775787,10.326111,898.8739,2.491781,15.394714,57.94735
2021-01-06 09:00:00,18.850769,10.3437195,898.29376,2.6537647,10.952606,57.744335
2021-01-06 10:00:00,17.392914,10.473114,898.0436,2.3261442,11.699585,63.829403
2021-01-06 11:00:00,17.341858,10.584778,898.14307,3.0648983,23.784546,64.51374
2021-01-06 12:00:00,17.160645,10.581604,898.53186,3.292864,28.858704,65.24333
2021-01-06 13:00:00,16.892609,10.545197,899.11237,3.4480355,31.047394,66.199646
2021-01-06 14:00:00,15.987183,10.470825,899.73694,3.4598622,32.57779,69.77832
2021-01-06 15:00:00,14.979584,10.084808,900.21765,3.4238849,33.58539,72.53979
2021-01-06 16:00:00,14.768646,9.956696,900.41846,3.377743,33.03769,72.90442
2021-01-06 17:00:00,13.925354,9.643341,900.37555,3.346807,31.753876,75.39038
2021-01-06 18:00:00,13.765137,9.589142,900.10693,3.3839986,29.58432,75.901985
2021-01-06 19:00:00,13.595703,9.511688,899.80695,3.5299015,27.628113,76.344444
2021-01-06 20:00:00,12.954498,9.240601,899.3918,3.757594,25.746643,78.1662
2021-01-06 21:00:00,12.794006,9.158386,899.04596,4.068585,24.299744,78.55503
2021-01-06 22:00:00,12.390411,8.975708,898.6931,4.071957,29.905396,79.673996
2021-01-06 23:00:00,12.276123,8.955963,898.6158,4.3614473,30.78003,80.16751
2021-01-07 00:00:00,12.352234,8.98938,898.87897,4.5485907,32.95117,79.94767
2021-01-07 01:00:00,12.191071,8.884766,899.5408,4.748482,36.076385,80.23061
2021-01-07 02:00:00,13.033722,9.250458,900.294,4.8882103,38.40439,77.8142
2021-01-07 03:00:00,13.266266,9.220428,900.92096,4.9343038,39.85959,76.48737
2021-01-07 04:00:00,13.725983,9.212555,901.1969,4.5001426,36.322144,74.19324
2021-01-07 05:00:00,16.034546,9.445953,900.85516,4.1376457,29.765503,64.95619
2021-01-07 06:00:00,16.798187,9.354584,900.076,3.8517916,20.93451,61.496426
2021-01-07 07:00:00,17.201965,9.460236,899.1147,3.7178037,10.547577,60.370594
2021-01-07 08:00:00,18.208496,9.299103,898.3022,3.7476544,2.9876099,56.050472
2021-01-07 09:00:00,18.319397,9.228546,897.774,3.958058,1.0046997,55.39821
2021-01-07 10:00:00,17.064941,9.625916,897.4126,3.818869,6.968567,61.57756
2021-01-07 11:00:00,17.002289,9.658234,897.5108,4.54556,18.955933,61.956573
2021-01-07 12:00:00,16.805847,9.609528,897.8215,4.8384123,23.92389,62.52827
2021-01-07 13:00:00,16.53299,9.505676,898.2954,5.10513,29.247406,63.17923
